unit_id,annotA_script,annotA_note,annotB_script,annotB_note,final,reason
8,digit,closed circle; digit 0 vs Latin O,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
13,english,uppercase J vs Urdu laam,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
48,english,lowercase y,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
59,digit,4,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
91,english,uppercase G,digit,,digit,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
117,english,uppercase C,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
124,digit,closed circle; digit 0 vs Latin O vs Urdu he,english,,english,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
128,english,uppercase S,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
143,english,lowercase e,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
153,digit,digit 4 vs Latin y,english,,english,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
158,digit,2,english,,english,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
223,digit,closed circle; digit 0 vs Latin O,english,,english,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
268,english,uppercase S,urdu,,urdu,Adjudication policy fixed by the authors 2026-09-02: annotator B (human) is authoritative on every A/B disagreement; annotator A is Claude Code (D-001).
